"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline2","baseline2_022","Neg 0 C_1",54,"negative",,"none",,"C","paper","1",,13.3454111963626,,TRUE,
"baseline2","baseline2_022","Neg C E_1",64,"negative",,"conflated",,"E","chair","1",,13.3454111963626,,TRUE,
"baseline2","baseline2_022","Aff M B_1",68,"affirmative",,"manner",,"B","car","1",,13.3454111963626,,TRUE,
"baseline2","baseline2_022","Neg P B_1",78,"negative",,"path",,"B","car","1",,13.3454111963626,,TRUE,
"baseline2","baseline2_022","Neg M D_1",80,"negative",,"manner",,"D","plank","1",,13.3454111963626,,TRUE,
"baseline2","baseline2_022","Aff 0 D_1",80,"affirmative",,"none",,"D","plank","1",,13.3454111963626,,TRUE,
"baseline2","baseline2_022","Aff C C_1",86,"affirmative",,"conflated",,"C","paper","1",,13.3454111963626,,TRUE,
"baseline2","baseline2_022","Aff M E_1",87,"affirmative",,"manner",,"E","chair","1",,13.3454111963626,,TRUE,
"baseline2","baseline2_022","Neg C A_1",89,"negative",,"conflated",,"A","leaf","1",,13.3454111963626,,TRUE,
"baseline2","baseline2_023","Neg P C_1",0,"negative",,"path",,"C","paper","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_023","Neg M A_1",0,"negative",,"manner",,"A","leaf","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_023","Aff M C_1",0,"affirmative",,"manner",,"C","paper","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_023","Neg C B_1",1,"negative",,"conflated",,"B","car","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_023","Aff 0 B_1",3,"affirmative",,"none",,"B","car","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_023","Aff P D_1",23,"affirmative",,"path",,"D","plank","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_023","Neg M E_1",26,"negative",,"manner",,"E","chair","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_023","Aff 0 E_1",50,"affirmative",,"none",,"E","chair","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_023","Neg 0 D_1",50,"negative",,"none",,"D","plank","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_023","Aff P A_1",76,"affirmative",,"path",,"A","leaf","1",,27.3798384866594,,TRUE,
"baseline2","baseline2_024","Neg C E_1",20,"negative",,"conflated",,"E","chair","1",,19.1557940175928,,TRUE,
